title,url_slug,repair_num,date,item,brand,problem,solution,cost_new,cost_of_fix,age,success,venue,related_images,description
Air Fryer,air_fryer,1,08-2023,Unbranded Air Fryer,Generic,Dead thermal fuse,Replace thermal fuse,£60.00,20p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/air_fryer/air_fryer_1.jpg,"Air fryer came in not working at all, 99 times out of 100 with things like this it’s going to be the thermal fuse. The issue is taking the sodding thing apart! Very much not designed to be serviced / fixed considering the fix is a 20p thermal fuse that needs to be replaced…"
Portable Projector – Dead Battery,portable_projector,2,01-2024,Projector,Harmon Kardon,Dead battery,No Fix,£300,0p,TODO,No,Sparks Repair Cafe,/images/repair_cafe/projector/projector_2.jpg /images/repair_cafe/projector/projector_1.jpg,"This projector came in that wouldn’t boot at all. It’s a portable mini projector,  but no buttons would do anything and wouldn’t work. Started to disassemble,  and checked the battery which was totally dead! You can’t get replacements for this battery because it’s got to be a specific size in order to fit inside the container. Unfortunate very expensive and sophisticated bit of kit all to end up as junk because you can’t get a replacement battery, and you can’t run it by having it plugged in!"
Broken Blinds,blinds,3,10-2023,Slat blinds,Ikea,Trapped mechanism,Re-attach string and fasten,£80.00,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/blinds/blinds_1.jpg /images/repair_cafe/blinds/blinds_2.jpg /images/repair_cafe/blinds/blinds_3.jpg,"Blinds came in that weren’t able to retract properly, the issue was that the string had come loose in the mechanism,and needed to be re-fed through the spindle and fixed in place."
Camera Lens Stuck,camera_lens,4,09-2023,Camera,Canon,Lens stuck opening,Bit of oil on mechanism,~£50,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/camera/camera_1.jpg,"Camera came in that had issue automatically opening the lens covers when booting. Disassemble and very precisely add a tiny dab of oil on the mechanism that releases/retracts the covers. Cycle the camera a few times and now the mechanism opens happily. Pretty sure a collection of dust and nasty stuff gunked up the mechanism"
Portable Coffee Grinder,portable_grinder,5,06-2023,Grinder,UFIT,Motor wouldn’t move grinder,Insert missing circlip,£25.00,1p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/coffee_grinder/coffee_grinder_1.jpg,"Grinder was donated in the junk box, that would hold a charge and you could hear the motor spin, but the actual grinder mechanism wouldn’t engage. Open the device up and one of the circlips that holds the attachment in place had snapped or come loose, and now the thing was fixed for the cost of a 1p circlip! One of our volunteers is using it to grind up egg shells to make egg shell porcelain with!"
Infernal Coffee machine,coffee_machine,6,05-2023,Bean to cup machine,Jura,MYSTERY,ALSO MYSTERY,£1250,0p,0p,Yes,Sparks Repair Cafe,/images/repair_cafe/coffee_machine/coffee_machine_1.jpg /images/repair_cafe/coffee_machine/coffee_machine_2.jpg,"Coffee machine that came in from one of the stalls in sparks that would have an error during the boot up sequence. It would give some error code on the screen that didn’t describe much and Google searching came up with no information! I could hear a relay engaging before it switched off, so there must be some software deciding to turn itself off, so I figured that the code was successfully executing but some status during the bootup sequence was bad and engaged some safety process. I spent the end of many sessions trying to get into this thing, and then diagnosing it. Both of the control boards were fine, no visible issues that screamed error. Started unplugging cables that went to the control board to see which one triggered the fail state, and eventually found a 2-cable connector that would cause it to fail the boot process. When I unplugged it, it was able to get past that auto shut off, but then returned an error later in the boot process saying that something was disconnected. Followed that cable and it lead to a pressure sensor of sorts that wasn’t well connected, so I think it just wasn’t making electrical contact! Re-connected it and reassembled the machine, and then got to enjoy a cup of coffee from the machine. Very satisfying cup of coffee!"
Shredded gears with your e-bike sir?,e_bike,7,07-2023,E-bike,Unbranded,Shredded planetary gears,Replace gearbox and bearings ,£800,£25.00,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/e-bike/e-bike_1.jpg /images/repair_cafe/e-bike/e-bike_14.jpg /images/repair_cafe/e-bike/e-bike_8.jpg /images/repair_cafe/e-bike/e-bike_15.jpg /images/repair_cafe/e-bike/e-bike_9.jpg /images/repair_cafe/e-bike/e-bike_5.jpg /images/repair_cafe/e-bike/e-bike_6.jpg /images/repair_cafe/e-bike/e-bike_16.jpg /images/repair_cafe/e-bike/e-bike_4.jpg /images/repair_cafe/e-bike/e-bike_17.jpg /images/repair_cafe/e-bike/e-bike_12.jpg /images/repair_cafe/e-bike/e-bike_3.jpg /images/repair_cafe/e-bike/e-bike_10.jpg /images/repair_cafe/e-bike/e-bike_7.jpg /images/repair_cafe/e-bike/e-bike_2.jpg /images/repair_cafe/e-bike/e-bike_11.jpg /images/repair_cafe/e-bike/e-bike_13.jpg,"We had this e-bike that was donated to the repair cafe, that no longer worked and the person involved didn’t want it back as they had an upgrade and had been told it was unfixable. Bit of diagnosing later, as I could get the motor to spin with the throttle, but the wheel itself would stop and start and stutter, which didn’t make much sense. I knew that the battery was fine as I could test the voltage on that, and as it’s a brushless motor and controller, it didn’t make much sense why the wheel would stop/start/stop, so seemed more of a mechanical issue. So I removed the whole motor connectors and opened the housing for the in-wheel motor. Inside the housing was a disgusting mix of black grease, along with the remains of the nylon planetary gears that had been absolutely shredded to the extent that they were basically smooth around 2/3 of the gear face! This made sense why the wheel would spin for a little bit and then stop! When I was re-assembling the motor housing I found out why the gears had shredded themselves to bits however! The bearings for the motor were totally seized and would not budge in the slightest!! So the motor and gearbox would have been straining against seized bearings which would allow a bit of movement and then stop, which is most likely why the gears got shredded. Bought a bunch of new bearings and pressed those in happily. Then I had to source a replacement planetary gear set and re-grease it and assemble which all was possible and found the exact match of nylon pair and flooded the gearbox with a bunch of high temp grease and it works like a dream. I still get messages from the person who eventually got it who is very happy with it and has no issues"
Mangled Cable – Scooter,e_scooter,8,05-2023,E-Scooter,Halfords,Exploded PCB from cable being crushed,No Fix,£90,0p,TODO,No,Sparks Repair Cafe,/images/repair_cafe/e_scooter/e_scooter_9.jpg /images/repair_cafe/e_scooter/e_scooter_4.jpg /images/repair_cafe/e_scooter/e_scooter_6.jpg /images/repair_cafe/e_scooter/e_scooter_3.jpg /images/repair_cafe/e_scooter/e_scooter_1.jpg /images/repair_cafe/e_scooter/e_scooter_2.jpg /images/repair_cafe/e_scooter/e_scooter_5.jpg /images/repair_cafe/e_scooter/e_scooter_8.jpg /images/repair_cafe/e_scooter/e_scooter_7.jpg,"Scooter came in, it wouldn’t turn on at all and the electric motor wouldn’t spin. Taking it apart, when looking at the PCB there was a very obvious track that had gotten so hot it de-laminated itself and burnt the copper track such that it was an open circuit! When taking it further apart, what had happened was the control and power cables that go up to the control module, had been crushed in a pinch point in the scooter stem, causing a GPIO line to the microcontroller to get a whopping 24V! This was the GPIO line that measures the throttle, so once I’d sorted and fixed the cable, even though it would turn on, and the micro would do something (send signals to the gate drivers), the GPIO pin on the micro was toast, and the entire thing would have to be replaced. As the code to flash the micro is unavailable, it is essentially un-fixable. I looked online for suitable brushless motor controllers at 24V, but couldn’t find one that would fit the requirements for the scooter. Unfortunately, the whole electric portion of this scooter is now broken. It still functions as a scooter though!"
Headphones cable issue,headphones,9,11-2023,Headphones,Generic,Intermittent connection,New audio cable,£80.00,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/headphones_wire/headphones_wire_1.jpg /images/repair_cafe/headphones_wire/headphones_wire_3.jpg /images/repair_cafe/headphones_wire/headphones_wire_2.jpg,"Headphones came in that had an intermittent connection and would crackle on one of the speakers. Electrical test between them showed a bad connection in the 3.5mm jack end, and they’d already brought in a 3.5mm jack to replace it with. The quality of the existing cables wasn’t great so I thought it better and easier to swap it out for a moulded 3.5mm jack. Went through the junk collection we have and found a perfectly suitable one to replace it with, that saved the wire getting junked for scrap."
Bad IMU Production,IMU,10,09-2023,IMU,DFRobot,Shorted connection on IMU,Remove excess solder,£75,0p,TODO,Yes,Home,/images/repair_cafe/IMU/IMU_6.jpg /images/repair_cafe/IMU/IMU_5.jpg /images/repair_cafe/IMU/IMU_1.jpg /images/repair_cafe/IMU/IMU_7.jpg /images/repair_cafe/IMU/IMU_4.jpg /images/repair_cafe/IMU/IMU_2.jpg /images/repair_cafe/IMU/IMU_3.jpg ,"This is an issue I had during PhD, where we’d purchased a few IMUs at once and one of them just wouldn’t boot and wouldn’t turn on. I couldn’t resist opening it up and having a look at what the issue was. Turns out the IMU chip itself had an issue during soldering, causing 3.3V to be shorted to ground, as you can see in the photos. This was quite surprising, as if 3.3V was shorted, it wouldn’t have been possible to flash the devices in the factory with the microcontroller code? The corresponding microcontroller is powered by 3.3V, so it needed that rail to be correct. The manufacturers obviously didn’t have a check to see if the micros were successfully flashed! We got a full refund once we showed these images"
Kobo Reader Leak,kobo_reader,11,05-2023,E-Reader,Kobo,Water damage,Scrap,???,0p,TODO,No,Sparks Repair Cafe,/images/repair_cafe/kobo_reader/kobo_reader_2.jpg /images/repair_cafe/kobo_reader/kobo_reader_3.jpg /images/repair_cafe/kobo_reader/kobo_reader_1.jpg,"E-reader had a bit of moisture ingress from something being spilled on it. Opened it up and there was a bunch of backlight LEDs that had shorted and exploded, which meant that the LED power rail had been ruined. Removed the offending LEDs and followed the rail back to the source, but still wouldn’t generate the voltage required. Followed the connection from the LED to a chip that controls the screen matrix, and there’s some issue there, but there is no documentation available for that chip, so it’s basically a dead end at that point. The parts did not go to waste however! The battery has gone towards a project I’m working on that needed a nice flat battery!"
Dodgy Strimmer Connection,strimmer,12,05-2023,Strimmer,Generic,Snapped connection on motor,Re-solder power cable,???,0p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/lawn_mower/lawn_mower_2.jpg /images/repair_cafe/lawn_mower/lawn_mower_3.jpg /images/repair_cafe/lawn_mower/lawn_mower_1.jpg,"Electric strimmer wouldn’t turn on and move, but all the connections from the plug to the cables seemed fine. Turns out inside the little choke before the motor connection, under the heatshrink, the spool of wire had been twisted too much and needed re-soldering. Nice and simple fix once the issue had been found!"
MacBook water ingress,macbook,13,01-2024,MacBook air,Apple,Water damage,Replace FPC connector,£800,£4,TODO,Yes,Home,/images/repair_cafe/macbook/macbook_3.jpg /images/repair_cafe/macbook/macbook_2.jpg /images/repair_cafe/macbook/macbook_4.jpg /images/repair_cafe/macbook/macbook_6.jpg /images/repair_cafe/macbook/macbook_5.jpg /images/repair_cafe/macbook/macbook_7.jpg /images/repair_cafe/macbook/macbook_1.jpg ,"Water got spilled on a friend’s laptop, and would turn on but the screen didn’t show anything. Taking it apart showed the connection from the mobo to the screen had a short and melted and damaged the screen connector. The whole connector would have to be replaced, which I’m going to do once I source the right component and reset the laptop."
Bang-polar Junction Transistor,magnifier,14,02-2024,Magnifier light,Unknown,Exploded BJT converted to dust,Replace BJT and board,£20.00,10p,TODO,Yes,Sparks Repair Cafe,/images/repair_cafe/magnifier_light/magnifier_light_1.jpg,"A magnification and combined lamp wouldn’t turn on the lights found in the recycling bin. Taking it apart there’s a simple potentiometer that controls the current to the LEDs via a BJT that had exploded and taken the PCB with it. Jury-rigged a simple circuit on perfboard that connects to the potentiometer that achieves the same thing. It is now my desk magnification for when I need something extra!"
Marantz Amplifier,marantz_amplifier,15,08-2024,Amplifier,Marantz,TODO,TODO,TODO,TODO,TODO,TODO,Sparks Repair Cafe,/images/repair_cafe/marantz_amplifier/marantz_amplifier_1.jpg,TODO
